aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity,attack_score
430,475,1,0.0,1.0,1,0.9,0.1,0,0.9999796838811912,2.0316118808662795e-05,0,0.0,1.0,1,0.0,1.0,1,0.6200040632237618,0.973479370775686
435,957,1,0.0,1.0,1,0.7692307692307693,0.2307692307692307,0,0.9990663803566427,0.0009336196433572,0,0.0,1.0,1,0.0,1.0,1,0.6463405700825177,0.9681656732632958
445,399,1,0.136986301369863,0.863013698630137,0,0.3333333333333333,0.6666666666666666,0,,,0,0.0,1.0,1,0.0,1.0,1,0.7059360730593608,0.8713904921958492
446,141,1,0.0,1.0,1,0.9090909090909092,0.0909090909090909,0,0.9978738483345144,0.0021261516654854,0,0.0,1.0,1,0.0,1.0,1,0.6186070485149153,0.9687252677103616
451,733,1,0.0,1.0,1,0.5,0.5,0,0.9999873593730249,1.2640626975097964e-05,0,0.0,1.0,1,0.0,1.0,1,0.7000025281253951,0.9801568088818428
452,512,1,0.0,1.0,1,0.8,0.2,0,0.99994219736709,5.780263290992905e-05,0,0.0,1.0,1,0.0,1.0,1,0.6400115605265819,0.9686238707661786
459,541,1,0.0821917808219178,0.9178082191780822,0,0.5,0.5,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6835616438356165,0.957207595712779
460,714,1,0.0303030303030303,1.03125,0,0.625,0.375,0,0.999432664350046,0.0005673356499539,0,0.0,1.0,1,0.0,1.0,1,0.6690528610693847,0.9610068206974832
464,863,1,0.0,1.0,1,0.8888888888888888,0.1111111111111111,0,0.9999166689814172,8.333101858281715e-05,0,0.0,1.0,1,0.0,1.0,1,0.6222388884259388,0.9730604464085552
465,103,1,0.0909090909090909,1.1,0,0.0,1.0,1,,,0,0.75,0.25,0,0.0,1.0,1,0.6318181818181818,0.8393118854924543
467,799,1,0.0,1.0,1,0.8181818181818182,0.1818181818181818,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6363636363636364,0.9638562598487823
469,4,1,0.0344827586206896,0.9655172413793104,0,0.0,1.0,1,0.9998089699233758,0.0001910300766242,0,0.0,1.0,1,0.5,0.5,0,0.693141654291187,0.9782842918583273
471,853,1,0.8833333333333333,8.571428571428571,0,0.0,1.0,1,,,0,0.0,1.0,1,0.0,1.0,1,0.6233333333333333,0.9192083601065405
472,28,1,0.0465116279069767,0.9534883720930232,0,0.5555555555555556,0.4444444444444444,0,0.999975611540619,2.43884593810209e-05,0,0.0,1.0,1,0.0,1.0,1,0.6795914409993697,0.970541724846807
475,362,1,0.0384615384615384,1.04,0,0.7272727272727273,0.2727272727272727,0,0.999988385867924,1.1614132075909968e-05,0,0.0,1.0,1,0.0,1.0,1,0.6468554696795621,0.9586969374623995
481,556,1,0.0,1.0,1,0.7,0.3,0,0.99988244283783,0.0001175571621701,0,0.0,1.0,1,0.0,1.0,1,0.660023511432434,0.9789550623871844
486,906,1,0.0,1.0,1,0.8181818181818182,0.1818181818181818,0,0.9995366938472944,0.0004633061527057,0,0.0,1.0,1,0.0,1.0,1,0.6364562975941774,0.9666133803589724
491,601,1,0.131578947368421,1.1515151515151516,0,0.75,0.25,0,0.999776572624053,0.000223427375947,0,0.0,1.0,1,0.0,1.0,1,0.6237288960015052,0.8732172022849656
498,314,1,0.0,1.0,1,0.7692307692307693,0.2307692307692307,0,0.9995332773266126,0.0004667226733874,0,0.0,1.0,1,0.0,1.0,1,0.6462471906885237,0.9663237901698892
502,165,1,0.0694444444444444,0.9305555555555556,0,0.2857142857142857,0.7142857142857143,0,,,0,0.0,1.0,1,0.0,1.0,1,0.7289682539682539,0.94071293567862
503,393,1,0.09375,1.103448275862069,0,0.5454545454545454,0.4545454545454545,0,0.9998043052837572,0.0001956947162426,0,0.0,1.0,1,0.0,1.0,1,0.6721982298523395,0.9309745210658175
