anon_index,max_attack_score,mean_attack_score,pair_count,risk_level
1557,0.5124376163745675,0.5124376163745675,1,medium
1558,0.49674638187814635,0.49674638187814635,1,low
1559,0.49923474962597925,0.49923474962597925,1,low
1560,0.5072956176861335,0.5072956176861335,1,low
1561,0.5087263608315513,0.5087263608315513,1,low
1562,0.5078328060278086,0.5078328060278086,1,low
1563,0.5057315886820485,0.5057315886820485,1,low
1564,0.5026644950331439,0.5026644950331439,1,low
1565,0.5172146200437384,0.5172146200437384,1,high
1566,0.5052161834048097,0.5052161834048097,1,low
1567,0.5086635453165188,0.5086635453165188,1,low
1568,0.5099617936369577,0.5099617936369577,1,low
1569,0.4996875600207456,0.4996875600207456,1,low
1570,0.5075354547185188,0.5075354547185188,1,low
1571,0.506544285226983,0.506544285226983,1,low
