aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity
672,54,0,0.8409090909090909,6.285714285714286,0,0.0,1.0,1,,,0,0.0,1.0,1,1.0,0.0,0,0.4318181818181818
953,825,0,0.6086956521739131,0.391304347826087,0,0.7272727272727273,0.2727272727272727,0,0.9999525109818355,4.7489018164549446e-05,0,0.0,1.0,1,0.0,1.0,1,0.5328158219143049
316,600,0,0.5,2.0,0,0.7,0.3,0,0.9999390652611053,6.093473889464384e-05,0,0.75,0.25,0,0.0,1.0,1,0.4100121869477789
163,218,1,0.05555555555555555,0.9444444444444444,0,0.2,0.8,0,0.9999559490771331,4.405092286683406e-05,0,0.5,0.5,0,0.0,1.0,1,0.6488976990734623
325,787,0,0.2542372881355932,0.7457627118644068,0,0.7894736842105263,0.21052631578947367,0,0.9998969114675683,0.0001030885324316523,0,0.0,1.0,1,1.0,0.0,0,0.3912784232372625
807,118,1,0.02564102564102564,0.9743589743589743,0,0.0,1.0,1,,,0,0.0,1.0,1,0.5,0.5,0,0.6948717948717948
1135,919,1,0.015384615384615385,0.9846153846153847,0,0.8461538461538461,0.15384615384615385,0,0.9998734195018354,0.00012658049816458277,0,0.0,1.0,1,0.0,1.0,1,0.6277176237919406
1064,99,1,0.0,1.0,1,0.6153846153846154,0.38461538461538464,0,0.9990918172736355,0.0009081827263645446,0,0.0,1.0,1,0.0,1.0,1,0.6771047134683499
1060,393,0,0.3103448275862069,0.6896551724137931,0,0.5454545454545454,0.45454545454545453,0,0.9998630136986302,0.000136986301369863,0,0.5,2.0,0,0.0,1.0,1,0.5288675226521236
18,84,0,0.8620689655172413,7.25,0,,,0,,,0,1.0,0.0,0,0.0,1.0,1,0.22758620689655173
1038,882,1,0.125,1.1428571428571428,0,0.6666666666666666,0.3333333333333333,0,0.9999838761689778,1.6123831022250886e-05,0,0.0,1.0,1,0.0,1.0,1,0.6416698914328711
694,990,1,0.022727272727272728,1.0232558139534884,0,0.6,0.4,0,0.9998611188267319,0.00013888117326815177,0,0.0,1.0,1,0.0,1.0,1,0.6754823216891991
909,99,0,0.16,0.84,0,0.6153846153846154,0.38461538461538464,0,0.9996367269094542,0.0003632730905458178,0,0.0,1.0,1,1.0,0.0,0,0.44499573154118605
808,454,1,0.0,1.0,1,0.8,0.2,0,,,0,0.0,1.0,1,0.0,1.0,1,0.64
640,181,1,0.0,1.0,1,0.8,0.2,0,0.9998739442833733,0.00012605571662674902,0,0.0,1.0,1,0.0,1.0,1,0.6400252111433253
