pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,attack_score
123,1,123.0,123.0,74390.000120984,74396.0,0.9999996203896558,4.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,74390.0,0.0,0.0,0.0,0.0,0.9665433962549663
124,1,124.0,124.0,36504.00167104971,36516.0,0.99999996113972,11.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,36504.0,0.0,0.0,0.0,0.0,0.9671378956856039
125,1,125.0,125.0,36402.00012361958,36405.0,0.9999994855405748,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,36402.0,0.0,0.0,0.0,0.0,0.8812276501511457
126,1,126.0,126.0,47216.00002117927,47218.0,-0.0759698979221623,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.2,47216.0,0.0,0.0,0.0,0.0,0.9691157980961268
127,1,127.0,127.0,10712.000653472722,10718.0,-0.0897207796885501,3.0,0.0,2.0,0,1.0,0,0.0,0.0,0.0,10712.0,0.0,0.0,0.0,0.0,0.9445787305217168
128,1,128.0,128.0,6214.0,6214.0,0.999999999088122,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,6214.0,0.0,0.0,0.0,0.0,0.3480805067243445
129,1,129.0,129.0,8.246211251235321,10.0,0.9688789808141036,8.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9398635140025772
130,1,130.0,130.0,14102.0,14102.0,-0.0879427224311311,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,14102.0,0.0,0.0,0.0,0.0,0.8311851966753471
131,1,131.0,131.0,45202.00134949779,45214.0,-0.4082211826500361,11.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,45202.0,0.0,0.0,0.0,0.0,0.9674473197522312
132,1,132.0,132.0,38909.0000128505,38910.0,0.9999999921494286,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,38909.0,0.0,0.0,0.0,0.0,0.06575713030991037
133,1,133.0,133.0,46493.00009678876,46496.0,-0.0968465475974711,3.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,46493.0,0.0,0.0,0.0,0.0,0.9651601442356273
134,1,134.0,134.0,46493.00003226292,46496.0,-0.0821947603177781,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,46493.0,0.0,0.0,0.0,0.0,0.9687247110807414
135,1,135.0,135.0,1.0,1.0,0.9486832980505138,0.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.9488007076930405
136,1,136.0,136.0,191.0654338178416,196.0,0.9999999982697794,5.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,191.0,0.0,0.0,0.0,0.0,0.05105267353595114
137,1,137.0,137.0,64195.002001713496,64212.0,-0.3780174529485787,16.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,64195.0,0.0,0.0,0.0,0.0,0.9669943391081901
