pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index
109,109,109,1,0,2.0,0.0,0,3.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,109,109
1164,1164,1164,0,0,13.0,0.0,0,7.0,0.0,0,49219.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1164,1164
1959,1959,1959,0,0,1.0,0.0,0,8.0,0.0,1,1.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1959,1959
1464,1464,1464,0,0,47.0,0.0,0,6.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1464,1464
1728,1728,1728,0,0,29.0,0.0,0,5.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1728,1728
1242,1242,1242,0,0,21.0,0.0,0,16.0,0.0,0,96996.0,0.0,0,1.0,0.0,0,2.0,0.0,0.0,1242,1242
211,211,211,1,0,11.0,0.0,0,8.0,0.0,0,43293.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,211,211
1767,1767,1767,0,0,33.0,0.0,0,3.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1767,1767
1120,1120,1120,0,0,10.0,0.0,0,7.0,0.0,1,1.0,0.0,0,0.0,1.0,0,0.0,1.0,0.4,1120,1120
679,679,679,1,0,50.0,0.0,0,7.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,679,679
1950,1950,1950,0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,1950,1950
1838,1838,1838,0,0,24.0,0.0,0,0.0,1.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.4,1838,1838
411,411,411,1,0,0.0,1.0,0,8.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.4,411,411
1324,1324,1324,0,0,13.0,0.0,0,6.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1324,1324
782,782,782,1,0,45.0,0.0,0,7.0,0.0,0,14094.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,782,782
1345,1345,1345,0,0,7.0,0.0,0,8.0,0.0,0,56208.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,1345,1345
874,874,874,1,0,31.0,0.0,0,5.0,0.0,1,1.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,874,874
1652,1652,1652,0,0,18.0,0.0,0,6.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,1652,1652
1278,1278,1278,0,0,18.0,0.0,0,12.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1278,1278
785,785,785,1,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,785,785
