district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,r2_school_education,type_of_school,grade_this_year,grade_last_year,distance,transport_medium,time_to_school,noschooling_reason,reason_leave_school,when_stop_schooling
11,1,6,PSU_RECODED_682,Grade 4,*,1,Walking,3,School too far away,_missing_,4,3,5,5,60, , , 
11,1,6,PSU_RECODED_682,Grade 10,*,1,Walking,3,School too far away,_missing_,1,19,8,5,35, , , 
11,1,2,PSU_RECODED_476,Grade 1,*,1,Walking,3,School too far away,_missing_,6,5,4,3,10, , , 
11,1,2,PSU_RECODED_476,Grade 1,*,1,Walking,4,School too far away,_missing_,2,1,4,3,10, , , 
11,1,2,PSU_RECODED_476,Grade 10,*,1,Walking,3,School too far away,_missing_,6,5,10,6,90, , , 
11,1,2,PSU_RECODED_476,Grade 10,*,1,Walking,4,School too far away,_missing_,1,19,9,6,80, , , 
11,1,6,PSU_RECODED_700,Grade 1,*,1,Walking,3,School too far away,_missing_,2,1,1,3,10, , , 
11,1,6,PSU_RECODED_700,Grade 5,*,1,Walking,5,School too far away,_missing_,10,9,10,5,45, , , 
11,1,2,PSU_RECODED_783,Grade 1,*,1,Walking,3,School too far away,_missing_,11,10,0,1,5, , , 
11,1,2,PSU_RECODED_783,Grade 1,*,1,Walking,4,School too far away,_missing_,4,3,0,1,15, , , 
11,1,2,PSU_RECODED_783,Grade 5,*,1,Walking,7,School too far away,_missing_,2,1,0,1,5, , , 
11,1-2,6,PSU_RECODED_190,Grade 5,*,1,Walking,5,School too far away,_missing_,5,4,5,4,15, , , 
11,1-2,6,PSU_RECODED_190,Grade 5,*,1,Walking,6,School too far away,_missing_,1,19,5,4,15, , , 
11,1,6,PSU_RECODED_OTHER,Grade 2,*,1,Walking,4,School too far away,_missing_,5,5,5,2,20, , , 
11,1,6,PSU_RECODED_OTHER,Grade 2,*,1,Walking,7,School too far away,_missing_,2,1,3,3,10, , , 
11,1,2,PSU_RECODED_563,Grade 2,*,1,Walking,4,School too far away,_missing_,9,8,2,3,15, , , 
11,1,2,PSU_RECODED_563,Grade 2,*,1,Walking,5,School too far away,_missing_,6,5,2,3,15, , , 
11,1,2,PSU_RECODED_876,Grade 1,*,1,Walking,3,School too far away,_missing_,2,1,5,5,30, , , 
11,1,2,PSU_RECODED_876,Grade 7,*,1,Walking,3,School too far away,_missing_,2,1,7,5,40, , , 
11,1,2,PSU_RECODED_876,Grade 7,*,1,Walking,4,School too far away,_missing_,1,19,7,5,40, , , 
11,1,6,PSU_RECODED_OTHER,Grade 1,*,1,Walking,4,School too far away,_missing_,12,11,6,6,30, , , 
11,1,6,PSU_RECODED_OTHER,Grade 1,*,1,Walking,5,School too far away,_missing_,8,7,4,3,15, , , 
11,1,6,PSU_RECODED_244,Grade 8,*,1,Walking,4,School too far away,_missing_,13,12,1,1,15, , , 
11,1,2,PSU_RECODED_832,Grade 2,*,1,Walking,3,School too far away,_missing_,9,8,11,5,60, , , 
11,1,2,PSU_RECODED_832,Grade 2,*,1,Walking,4,School too far away,_missing_,7,6,1,3,15, , , 
11,1,2,PSU_RECODED_832,Grade 7,*,1,Walking,4,School too far away,_missing_,12,11,2,1,20, , , 
11,1,6,PSU_RECODED_505,Grade 1,*,1,Walking,3,School too far away,_missing_,12,11,0,3,40, , , 
11,1,6,PSU_RECODED_505,Grade 1,*,1,Walking,4,School too far away,_missing_,6,5,0,3,40, , , 
11,1,6,PSU_RECODED_505,Grade 6,*,1,Walking,3,School too far away,_missing_,12,11,1,3,10, , , 
11,1,6,PSU_RECODED_505,Grade 6,*,1,Walking,4,School too far away,_missing_,12,11,13,1,10, , , 
11,1,6,PSU_RECODED_505,Grade 6,*,1,Walking,5,School too far away,_missing_,6,5,1,3,10, , , 
11,1,6,PSU_RECODED_131,Grade 2,*,1,Walking,6,School too far away,_missing_,11,10,1,6,10, , , 
11,1,3,PSU_RECODED_485,Grade 3,*,1,Walking,4,House keeping / Family business,_missing_, , , , , , ,7, 
11,1,7,PSU_RECODED_819,Grade 6,*,1,Walking,3,School too far away,_missing_,9,8,2,3,5, , , 
11,1,7,PSU_RECODED_819,Grade 6,*,1,Walking,4,School too far away,_missing_,5,4,2,3,5, , , 
11,1,7,PSU_RECODED_819,Grade 10,*,1,Walking,3,House keeping / Family business,_missing_, , , , , , ,99,2019
11,1,7,PSU_RECODED_819,Grade 10,*,1,Walking,4,School too far away,_missing_,9,8,2,1,20, , , 
11,1-2,3,PSU_RECODED_OTHER,Grade 1,*,1,Walking,2,School too far away,_missing_,8,7,6,5,30, , , 
11,1-2,3,PSU_RECODED_OTHER,Grade 1,*,1,Walking,3,School too far away,_missing_,4,3,6,5,30, , , 
11,1-2,3,PSU_RECODED_OTHER,Grade 5,*,1,Walking,3,School too far away,_missing_,8,7,3,3,15, , , 
11,1,7,PSU_RECODED_OTHER,Grade 8,*,1,Walking,2,School too far away,_missing_,1,19,1,3,5, , , 
11,1,3,PSU_RECODED_OTHER,Grade 4,*,1,Walking,6,School too far away,_missing_,1,19,0,1,20, , , 
11,1,7,PSU_RECODED_OTHER,Grade 8,*,1,Walking,6,School too far away,_missing_,9,8,0,1,10, , , 
11,1,7,PSU_RECODED_274,Grade 3,*,1,Walking,3,School too far away,_missing_,11,10,12,5,45, , , 
